id,sender,text,chat,timestamp
1,15,Привет! Как дела?,1,2024-02-03T02:18:25+03:00
2,5,"Привет! Всё отлично, спасибо! А у тебя?",1,2024-02-03T02:19:44+03:00
3,15,"Тоже неплохо, только с работы пришла. Устала сегодня.",1,2024-02-03T02:20:27+03:00
4,5,"Понимаю, тяжелый день был?",1,2024-02-03T02:21:40+03:00
5,15,"Да, немного. Но вот решила переключиться и немного пообщаться.",1,2024-02-03T02:22:55+03:00
6,5,Поняла. А что у тебя за планы на выходные?,1,2024-02-03T02:23:54+03:00
7,15,"Ничего особенного, думаю, просто отдохнуть дома.",1,2024-02-03T02:25:12+03:00
8,5,Понятно. А я планирую с друзьями в кино сходить.,1,2024-02-03T02:26:13+03:00
9,15,"О, звучит здорово! Какой фильм будете смотреть?",1,2024-02-03T02:27:03+03:00
10,5,"Ещё не решили, но скорее всего, что-то новое.",1,2024-02-03T02:28:24+03:00
11,15,Классно. У меня тоже давно не было времени в кино сходить.,1,2024-02-03T02:29:29+03:00
12,5,"Ты просто трудоголик, всё время на работе.",1,2024-02-03T02:30:46+03:00
13,15,"Ну, что поделать, работа такая. А как у тебя на работе?",1,2024-02-03T02:31:17+03:00
14,5,"Нормально, ничего особенного. Просто рутинные дела.",1,2024-02-03T02:32:28+03:00
15,15,"Понятно. Но лучше рутина, чем ничего.",1,2024-02-03T02:33:52+03:00
16,5,Согласна! Но иногда так хочется чего-то нового.,1,2024-02-03T02:35:03+03:00
17,15,"Точно, иногда такая разнообразие приветствуется.",1,2024-02-03T02:35:23+03:00
18,5,"Ладно, я пойду, пора ужинать. Обязательно пиши, если что.",1,2024-02-03T02:36:02+03:00
19,15,"Хорошо, спасибо за беседу! Всего доброго!",1,2024-02-03T02:36:37+03:00
20,10,Привет! Как твое настроение сегодня?,2,2024-02-03T05:30:26+03:00
21,4,"Здравствуй! Отлично, солнечно на улице, это меня всегда радует.",2,2024-02-03T05:30:48+03:00
22,10,"Да, сегодня прекрасная погода! Что у тебя нового?",2,2024-02-03T05:31:26+03:00
23,4,"Ничего особенного, просто работа и рутина.",2,2024-02-03T05:31:48+03:00
24,10,"Понятно, иногда так бывает. А я вчера посетила новое кафе, очень понравилось.",2,2024-02-03T05:32:30+03:00
25,4,Круто! Какая кухня там была?,2,2024-02-03T05:33:15+03:00
26,10,"Это было итальянское кафе, они делают потрясающую пасту.",2,2024-02-03T05:33:39+03:00
27,4,"Ммм, звучит вкусно! Надо будет тоже туда заглянуть.",2,2024-02-03T05:34:16+03:00
28,10,Обязательно! А ты сегодня что планируешь делать?,2,2024-02-03T05:34:46+03:00
29,4,"Думаю, просто посмотреть новый сериал на выходных.",2,2024-02-03T05:35:31+03:00
30,10,Это замечательный способ расслабиться после тяжелой недели.,2,2024-02-03T05:36:09+03:00
31,4,"Согласна, иногда просто хочется отдохнуть и насладиться моментом.",2,2024-02-03T05:36:36+03:00
32,5,Привет! Как твои дела?,1,2024-02-11T12:48:22+03:00
33,15,"Здравствуй! Всё хорошо, спасибо! Как у тебя?",1,2024-02-11T12:48:59+03:00
34,5,"Тоже неплохо, только что вернулась с прогулки.",1,2024-02-11T12:49:42+03:00
35,15,"О, звучит отлично! Какая погода была?",1,2024-02-11T12:50:33+03:00
36,5,"Солнечно и тепло, просто идеально для прогулки.",1,2024-02-11T12:51:09+03:00
37,15,Как я завидую! У нас дождь с утра.,1,2024-02-11T12:51:26+03:00
38,5,"Ну, не расстраивайся, может, завтра будет лучше.",1,2024-02-11T12:52:17+03:00
39,15,"Да, надеюсь. А что у тебя нового?",1,2024-02-11T12:52:34+03:00
40,5,"Ничего особенного, просто работа и обычные дела.",1,2024-02-11T12:53:26+03:00
41,15,"Понятно. Но, главное, чтобы было время отдохнуть.",1,2024-02-11T12:53:58+03:00
42,5,Точно! Я уже соскучилась по выходным.,1,2024-02-11T12:55:13+03:00
43,15,"Да, уже не терпится отдохнуть.",1,2024-02-11T12:56:48+03:00
44,5,Привет! Как ты сегодня?,1,2024-02-12T22:29:34+03:00
45,15,"Здравствуй! Всё хорошо, спасибо! У тебя как?",1,2024-02-12T22:30:40+03:00
46,5,Тоже в порядке. Что у тебя нового?,1,2024-02-12T22:31:44+03:00
47,15,"Ничего особенного, просто работа и дела.",1,2024-02-12T22:32:39+03:00
48,5,Понятно. А я сегодня встретила старого друга.,1,2024-02-12T22:33:30+03:00
49,15,"О, как здорово! Как он?",1,2024-02-12T22:34:59+03:00
50,5,"Всё хорошо, спасибо! Мы провели замечательно время.",1,2024-02-12T22:36:04+03:00
51,15,Классно! Ничего необычного не произошло с тобой?,1,2024-02-12T22:37:09+03:00
52,5,"Не особо, жизнь течет своим чередом.",1,2024-02-12T22:38:30+03:00
53,15,Понимаю. Но всегда есть место для приятных сюрпризов.,1,2024-02-12T22:39:27+03:00
54,5,Это точно! А у тебя какие планы на выходные?,1,2024-02-12T22:40:57+03:00
55,15,"Думаю, просто отдохнуть и провести время с семьей.",1,2024-02-12T22:41:57+03:00
56,5,Звучит замечательно! У меня будет вечеринка у друзей.,1,2024-02-12T22:42:41+03:00
57,15,Классно! Не забудь повеселиться за меня тоже.,1,2024-02-12T22:43:35+03:00
58,5,Обязательно! А как у тебя прошел день?,1,2024-02-12T22:44:15+03:00
59,15,"Неплохо, но было много работы. Наконец-то доделала все дела.",1,2024-02-12T22:44:34+03:00
60,5,Это здорово! Теперь ты можешь расслабиться и наслаждаться временем.,1,2024-02-12T22:44:56+03:00
61,15,"Да, именно так и планирую сделать.",1,2024-02-12T22:45:28+03:00
62,3,Привет! Как дела?,4,2024-02-23T01:52:50+03:00
63,13,"Привет! Всё отлично, спасибо! У тебя как?",4,2024-02-23T01:53:34+03:00
64,3,У меня тоже всё хорошо. Сегодня был на учебе весь день.,4,2024-02-23T01:53:49+03:00
65,13,"Понятно, тяжелый день был?",4,2024-02-23T01:54:04+03:00
66,3,"Немного, но зато сейчас свободный вечер.",4,2024-02-23T01:54:27+03:00
67,3,Планируешь что-нибудь интересное делать?,4,2024-02-23T01:54:51+03:00
68,13,"Да, думаю посмотреть новый фильм.",4,2024-02-23T01:55:29+03:00
69,3,"Звучит замечательно! Надеюсь, тебе понравится.",4,2024-02-23T01:55:55+03:00
70,8,Привет! Как ты?,5,2024-02-28T15:09:24+03:00
71,4,"Здравствуй! Всё хорошо, спасибо! А у тебя?",5,2024-02-28T15:10:02+03:00
72,8,Тоже неплохо. Что нового?,5,2024-02-28T15:10:35+03:00
73,4,"Ничего особенного, просто работа и дела.",5,2024-02-28T15:10:54+03:00
74,8,Понятно. А я сегодня встретил старого друга.,5,2024-02-28T15:11:33+03:00
75,4,"О, как здорово! Как он?",5,2024-02-28T15:12:09+03:00
76,8,"Всё хорошо, мы провели время вместе.",5,2024-02-28T15:12:24+03:00
77,4,Классно! Что ещё делал?,5,2024-02-28T15:12:50+03:00
78,8,"Не много, посмотрел новый фильм.",5,2024-02-28T15:13:35+03:00
79,4,Какой? Он тебе понравился?,5,2024-02-28T15:14:00+03:00
80,8,"Фантастика. Да, достаточно интересный.",5,2024-02-28T15:14:38+03:00
81,4,Здорово! А я вчера гуляла в парке.,5,2024-02-28T15:15:13+03:00
82,8,Погода была хорошая?,5,2024-02-28T15:15:38+03:00
83,4,"Да, солнечно и тепло.",5,2024-02-28T15:16:23+03:00
